Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00       24     0.00     0.00  mc_astexpr_makedefineexpr
  0.00      0.17     0.00       24     0.00     0.00  mc_astexpr_makeliteralnumber
  0.00      0.17     0.00       24     0.00     0.00  mc_class_addmember
  0.00      0.17     0.00       24     0.00     0.00  mc_compiler_compiledefine
  0.00      0.17     0.00       24     0.00     0.00  mc_ptrdict_deinit
  0.00      0.17     0.00       24     0.00     0.00  mc_ptrdict_init
  0.00      0.17     0.00       24     0.00     0.00  mc_util_doubletouint64
  0.00      0.17     0.00       23     0.00     0.00  mc_lexer_charisoneof
  0.00      0.17     0.00       23     0.00     0.00  mc_lexer_scannumber
  0.00      0.17     0.00       23     0.00     0.00  mc_parser_parseliteralnumber
  0.00      0.17     0.00       23     0.00     0.00  mc_parser_tokentomathop
  0.00      0.17     0.00       23     0.00     0.00  mc_ptrdict_destroy
  0.00      0.17     0.00       23     0.00     0.00  mc_ptrdict_make
  0.00      0.17     0.00       23     0.00     0.00  mc_util_strtod
  0.00      0.17     0.00       23     0.00     0.00  stod_strtod
  0.00      0.17     0.00       23     0.00     0.00  stod_strtod_internal
  0.00      0.17     0.00       21     0.00     0.00  mc_astexpr_makeinfixexpr
  0.00      0.17     0.00       21     0.00     0.00  mc_ptrdict_destroyitemsanddict
  0.00      0.17     0.00       20     0.00     0.00  mc_compiler_setcompilationscope
  0.00      0.17     0.00       20     0.00     0.00  mc_parser_parseinfixexpr
  0.00      0.17     0.00       19     0.00     0.00  mc_basicarray_data
  0.00      0.17     0.00       19     0.00     0.00  mc_ptrlist_pop
  0.00      0.17     0.00       19     0.00     0.00  mc_ptrlist_removeat
  0.00      0.17     0.00       18     0.00     0.00  mc_basicarray_orphandata
  0.00      0.17     0.00       18     0.00     0.00  stod_adjust_pow10
  0.00      0.17     0.00       18     0.00     0.00  stod_cached_power_dec
  0.00      0.17     0.00       18     0.00     0.00  stod_diyfp2d
  0.00      0.17     0.00       18     0.00     0.00  stod_diyfp_read
  0.00      0.17     0.00       18     0.00     0.00  stod_diyfp_sgnd_size
  0.00      0.17     0.00       18     0.00     0.00  stod_diyfp_shift_right
  0.00      0.17     0.00       18     0.00     0.00  stod_diyfp_strtod
  0.00      0.17     0.00       18     0.00     0.00  stod_read_uint64
  0.00      0.17     0.00       17     0.00     0.00  mc_astblockscope_destroy
  0.00      0.17     0.00       17     0.00     0.00  mc_objfunction_freevalsareallocated
  0.00      0.17     0.00       17     0.00     0.00  mc_symtable_popblockscope
  0.00      0.17     0.00       17     0.00     0.00  mc_value_makefuncscript
  0.00      0.17     0.00       16     0.00     0.00  mc_astblockscope_make
  0.00      0.17     0.00       16     0.00     0.00  mc_astcodeblock_destroy
  0.00      0.17     0.00       16     0.00     0.00  mc_astfuncparam_destroy
  0.00      0.17     0.00       16     0.00     0.00  mc_astfuncparam_make
  0.00      0.17     0.00       16     0.00     0.00  mc_parser_parsevarletstmt
  0.00      0.17     0.00       16     0.00     0.00  mc_symtable_pushblockscope
  0.00      0.17     0.00       14     0.00     0.00  mc_astcodeblock_make
  0.00      0.17     0.00       14     0.00     0.00  mc_parser_parsecodeblock
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_getcellindex
